platnost_od,platnost_do,sazba_pojistneho,zamestnavatel,zamestnavatel_zachranar_hasic,zamestnavatel_rizikove_zam,zamestnavatel_s_mensim_poctem_zamestnancu,zamestnanec,zamestnanec_ds,osvc_ucastna_dp,osvc_ucastna_dp_ds,osvc_ucastna_np,osoba_dobrovolne_ucastna_dp,osoba_dobrovolne_ucastna_dp_ds,zahranicni_zamestnanec
2012-01-01,2012-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,,,1.2,,,1.2,,,,,
2012-01-01,2012-12-31,Nemocenské pojištění,2.3,,,3.3,,,,,2.3,,,2.3
2012-01-01,2012-12-31,Důchodové pojištění,21.5,,,21.5,6.5,,28.0,,,28.0,,
2012-01-01,2012-12-31,Celková sazba,25.0,,,26.0,6.5,,29.2,,2.3,28.0,,2.3
2013-01-01,2014-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,,,1.2,,,1.2,1.2,,,,
2013-01-01,2014-12-31,Nemocenské pojištění,2.3,,,3.3,,,,,2.3,,,2.3
2013-01-01,2014-12-31,Důchodové pojištění,21.5,,,21.5,6.5,3.5,28.0,25.0,,28.0,30.0,
2013-01-01,2014-12-31,Celková sazba,25.0,,,26.0,6.5,3.5,29.2,26.2,2.3,28.0,30.0,2.3
2015-01-01,2015-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,,,,,,1.2,1.2,,,,
2015-01-01,2015-12-31,Nemocenské pojištění,2.3,,,,,,,,2.3,,,2.3
2015-01-01,2015-12-31,Důchodové pojištění,21.5,,,,6.5,3.5,28.0,25.0,,28.0,30.0,
2015-01-01,2015-12-31,Celková sazba,25.0,,,,6.5,3.5,29.2,26.2,2.3,28.0,30.0,2.3
2016-01-01,2019-06-30,Příspěvek na státní politiku zaměstnanosti,1.2,,,,,,1.2,,,,,
2016-01-01,2019-06-30,Nemocenské pojištění,2.3,,,,,,,,2.3,,,2.3
2016-01-01,2019-06-30,Důchodové pojištění,21.5,,,,6.5,,28.0,,,28.0,,
2016-01-01,2019-06-30,Celková sazba,25.0,,,,6.5,,29.2,,2.3,28.0,,2.3
2019-07-01,2020-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,,,,,,1.2,,,,,
2019-07-01,2020-12-31,Nemocenské pojištění,2.1,,,,,,,,2.1,,,2.1
2019-07-01,2020-12-31,Důchodové pojištění,21.5,,,,6.5,,28.0,,,28.0,,
2019-07-01,2020-12-31,Celková sazba,24.8,,,,6.5,,29.2,,2.1,28.0,,2.1
2021-01-01,2021-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,,,,,,1.2,,,,,
2021-01-01,2021-12-31,Nemocenské pojištění,2.1,,,,,,,,2.1,,,2.1
2021-01-01,2021-12-31,Důchodové pojištění,21.5,,,,6.5,,28.0,,,28.0,,
2021-01-01,2021-12-31,Celková sazba,24.8,,,,6.5,,29.2,,2.1,28.0,,2.1
2022-01-01,2022-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,,,,,,1.2,,,,,
2022-01-01,2022-12-31,Nemocenské pojištění,2.1,,,,,,,,2.1,,,2.1
2022-01-01,2022-12-31,Důchodové pojištění,21.5,,,,6.5,,28.0,,,28.0,,
2022-01-01,2022-12-31,Celková sazba,24.8,,,,6.5,,29.2,,2.1,28.0,,2.1
2023-01-01,2023-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,1.2,,,,,1.2,,,,,
2023-01-01,2023-12-31,Nemocenské pojištění,2.1,2.1,,,,,,,2.1,,,2.1
2023-01-01,2023-12-31,Důchodové pojištění,21.5,23.5,,,6.5,,28.0,,,28.0,,
2023-01-01,2023-12-31,Celková sazba,24.8,26.8,,,6.5,,29.2,,2.1,28.0,,2.1
2024-01-01,2024-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,1.2,,,,,1.2,,,,,
2024-01-01,2024-12-31,Nemocenské pojištění,2.1,2.1,,,0.6,,,,2.7,,,2.7
2024-01-01,2024-12-31,Důchodové pojištění,21.5,24.5,,,6.5,,28.0,,,28.0,,
2024-01-01,2024-12-31,Celková sazba,24.8,27.8,,,7.1,,29.2,,2.7,28.0,,2.7
2025-01-01,2025-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,1.2,1.2,,,,1.2,,,,,
2025-01-01,2025-12-31,Nemocenské pojištění,2.1,2.1,2.1,,0.6,,,,2.7,,,2.7
2025-01-01,2025-12-31,Důchodové pojištění,21.5,25.5,23.5,,6.5,,28.0,,,28.0,,
2025-01-01,2025-12-31,Celková sazba,24.8,28.8,26.8,,7.1,,29.2,,2.7,28.0,,2.7
2026-01-01,2026-12-31,Příspěvek na státní politiku zaměstnanosti,1.2,1.2,1.2,,,,1.2,,,,,
2026-01-01,2026-12-31,Nemocenské pojištění,2.1,2.1,2.1,,0.6,,,,2.7,,,2.7
2026-01-01,2026-12-31,Důchodové pojištění,21.5,26.5,24.5,,6.5,,28.0,,,28.0,,
2026-01-01,2026-12-31,Celková sazba,24.8,29.8,27.8,,7.1,,29.2,,2.7,28.0,,2.7
